# Credits

Many contributions to this website are from the Wolfgun Discord server.

Site and Code													satyrnidae (https://centurionfox.net)
Bingo Sound Effect #1		res/bingo.mp3						satyrnidae
Bingo Sound Effect #2		res/snoof.mp3						Snoof
Background image			res/centurion.png					Snoof
Oof Sound Effect #1			res/oof.mp3							Mojang/C418, *Minecraft* (https://minecraft.net)
Oof Sound Effect #2			res/oof2.mp3						Roblox Corporation, *ROBLOX* (https://www.roblox.com)
Basic Tombstone				res/tombstones/tombstone.png		Landon Podbielski/Adult Swim Games, *Duck Game* (https://www.adultswim.com/games/pc-console/duck-game/)
Buff Tombstone				res/tombstones/buffstone.png		half/moon (https://halfmoonplanet.bandcamp.com/)
Blank Tombstone				res/tombstones/blankstone.png		see (https://seebeyond.space)
Shortened Tombstone #1		res/tombstones/seestone.png			see
Shortened Tombstone #2		res/tombstones/seestone1.png		see
Shortened Tombstone #3		res/tombstones/seestone2.png		see
Shortened Tombstone #4		res/tombstones/seestone3.png		see
Shortened Tombstone #5		res/tombstones/seestone4.png		see
Shortened Tombstone #6		res/tombstones/shortstone.png		see
Googly Eye Tombstone		res/tombstones/googlestone.png		Khamelot
Side-Eye Tombstone			res/tombstones/sideeyestone.png		Khamelot
Wide-Eye Tombstone			res/tombstones/eyestone.png			Khamelot
Heart Tombstone				res/tombstones/heartstone.png		satyrnidae
Trans Pride Tombstone		res/tombstones/transstone.png		satyrnidae
TombstOwOne					res/tombstones/tombstowone.png		GHOST (https://twitter.com/heli0ns)
Rainbow / Pride Tombstone	res/tombstones/gaystone.png			GHOST
OOF Stone					res/tombstones/oofstone.png			GHOST
Not Fine Stone				res/tombstones/notfinestone.png		kc greene (https://kcgreendotcom.com/index.html), edit by GHOST
Wolfgun Logo Stone #1		res/tombstones/wolfstone.png		Yrrzy (http://yrrzy.tumblr.com/)
Wolfgun Logo Stone #2		res/tombstones/oldwolfstone.png		Connie (https://twitter.com/connieBarkshark)
Thinking Tombstone			res/tombstones/thinkstone.png		Whisper (https://twitter.com/catloaf) 
B Tombstone					res/tombstones/bstone.png			Flowers (https://twitter.com/radioflower)
I Tombstone					res/tombstones/istone.png			Flowers
N Tombstone					res/tombstones/nstone.png			Flowers
G Tombstone					res/tombstones/gstone.png			Flowers
O Tombstone					res/tombstones/ostone.png			Flowers
Ö Tombstone					res/tombstones/ohnostone.png		Flowers
Flowers Tombstone			res/tombstones/flowerstone.png		Flowers
Bingo Box Tombstone			res/tombstones/bingoboxstone.png	Flowers
GHOST Tombstone				res/tombstones/ghoststone.png		GHOST, edit by Flowers
Snoof Tombstone				res/tombstones/snoofstone.png		GHOST, edit by Flowers
Kiwi Tombstone				res/tombstones/weirdseedstone.png	chunji/kiwi (https://twitter.com/chunjihuli), edit by Flowers
K/DEN Tombstone				res/tombstones/moiststone.png		K/DEN (https://kden.bandcamp.com), edit by Flowers
Bingo Fancy					res/tombstones/fancybingo.png		Lucy Poindexter
Bingo Flannel				res/tombstones/bingo.png			Flannel
Frankerfacez Tombstone		res/tombstones/frankerfacestone.png	https://cdn.frankerfacez.com/emoticon/308378/4
